gbifID	datasetKey	class	order	family	genus	specificEpithet	verbatimScientificName	vernacularName	name	decimalLatitude	decimalLongitude	locality	stateProvince	countryCode	year	month	day	institutionCode	collectionCode	basisOfRecord	recordedBy	individualCount
2657885479	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-24.1865	-55.2791	Mbaracayú--Aguara Ñú	Canindeyú	PY	1997	8	24	CLO	EBIRD	HUMAN_OBSERVATION	obsr817843	1
2653140544	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-18.3136	-52.9001	PN das Emas (Goias)	Mato Grosso do Sul	BR	2018	9	29	CLO	EBIRD	HUMAN_OBSERVATION	obsr227035	1
2651795485	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-18.3424	-52.7966	PN das Emas--road PN south gate to Chapadão do Céu	Mato Grosso do Sul	BR	2010	7	27	CLO	EBIRD	HUMAN_OBSERVATION	obsr131779	1
2651621464	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-18.3424	-52.7966	PN das Emas--road PN south gate to Chapadão do Céu	Mato Grosso do Sul	BR	2010	7	27	CLO	EBIRD	HUMAN_OBSERVATION	obsr227035	1
2563641253	50c9509d-22c7-4a22-a47d-8c48425ef4a7	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-23.994243	-56.252473		San Pedro	PY	2012	8	23	iNaturalist	Observations	HUMAN_OBSERVATION	Mina Zaki	--
2243837374	b1047888-ae52-4179-9dd5-5448ea342a24	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-24.1514	-55.1753	Mbaracayu, Aguara nu, Canindeyu		PY	1995	12	6		Bird sounds	HUMAN_OBSERVATION	Bernabe Lopez-Lanus	--
2236804244	7e380070-f762-11e1-a439-00145eb45e9a	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Caprimulgus candicans (Pelzeln, 1867)	White-winged Nightjar	Ecand			Aguara Ñu, Mbaracayú Forest Nature Reserve	Canindeyú	PY	1995	12	20	NHMUK	ZOO	PRESERVED_SPECIMEN	Bernabé López Lanús	--
2236803976	7e380070-f762-11e1-a439-00145eb45e9a	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Caprimulgus candicans (Pelzeln, 1867)	White-winged Nightjar	Ecand			Aguara Ñu, Mbaracayú Forest Nature Reserve	Canindeyú	PY	1997	11	25	NHMUK	ZOO	PRESERVED_SPECIMEN	Dr Robert Clay	--
2236803872	7e380070-f762-11e1-a439-00145eb45e9a	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Caprimulgus candicans (Pelzeln, 1867)	White-winged Nightjar	Ecand			Aguara Ñu, Mbaracayú Forest Nature Reserve	Canindeyú	PY	1997	11	27	NHMUK	ZOO	PRESERVED_SPECIMEN	Dr Robert Clay	--
2236803837	7e380070-f762-11e1-a439-00145eb45e9a	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Caprimulgus candicans (Pelzeln, 1867)	White-winged Nightjar	Ecand			Aguara Ñu, Mbaracayú Forest Nature Reserve	Canindeyú	PY	1997	11	23	NHMUK	ZOO	PRESERVED_SPECIMEN	Dr Robert Clay	--
2236803712	7e380070-f762-11e1-a439-00145eb45e9a	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Caprimulgus candicans (Pelzeln, 1867)	White-winged Nightjar	Ecand			Aguara Ñu, Mbaracayú Forest Nature Reserve	Canindeyú	PY				NHMUK	ZOO	PRESERVED_SPECIMEN	Dr Robert Clay	--
2236803710	7e380070-f762-11e1-a439-00145eb45e9a	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Caprimulgus candicans (Pelzeln, 1867)	White-winged Nightjar	Ecand			Aguara Ñu, Mbaracayú Forest Nature Reserve	Canindeyú	PY	1995	11	23	NHMUK	ZOO	PRESERVED_SPECIMEN	Dr Robert Clay	--
2236803463	7e380070-f762-11e1-a439-00145eb45e9a	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Caprimulgus candicans (Pelzeln, 1867)	White-winged Nightjar	Ecand			Aguara Ñu, Mbaracayú Forest Nature Reserve	Canindeyú	PY	1997	11	23	NHMUK	ZOO	PRESERVED_SPECIMEN	Dr Robert Clay	--
2236803449	7e380070-f762-11e1-a439-00145eb45e9a	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Caprimulgus candicans (Pelzeln, 1867)	White-winged Nightjar	Ecand			Aguara Ñu, Mbaracayú Forest Nature Reserve	Canindeyú	PY				NHMUK	ZOO	PRESERVED_SPECIMEN	Dr Robert Clay	--
2236803261	7e380070-f762-11e1-a439-00145eb45e9a	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Caprimulgus candicans (Pelzeln, 1867)	White-winged Nightjar	Ecand			Aguara Ñu, Mbaracayú Forest Nature Reserve	Canindeyú	PY	1997	11	25	NHMUK	ZOO	PRESERVED_SPECIMEN	Dr Robert Clay	--
2233586977	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-18.261	-52.8884	Parque Nacional das Emas	Goiás	BR	2018	11	4	CLO	EBIRD	HUMAN_OBSERVATION	obsr343193	--
2226908141	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-23.7667	-56.2833	Laguna Blanca, San Pedro (Paraguay Central)	San Pedro	PY	2018	9	21	CLO	EBIRD	HUMAN_OBSERVATION	obsr962124	1
2221463436	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-19.7491	-47.9366	Uberaba - Área Geral	Minas Gerais	BR	2018	10	19	CLO	EBIRD	HUMAN_OBSERVATION	obsr623533	3
2217204501	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-19.7003	-47.9867	Uberaba - área geral	Minas Gerais	BR	2018	11	5	CLO	EBIRD	HUMAN_OBSERVATION	obsr623245	1
2203884734	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-23.7667	-56.2833	Laguna Blanca, San Pedro (Paraguay Central)	San Pedro	PY	2014	3	14	CLO	EBIRD	HUMAN_OBSERVATION	obsr289284	1
2198257171	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-18.0677	-52.9381	Das Emas NP Newly burned area	Goiás	BR	2018	7	13	CLO	EBIRD	HUMAN_OBSERVATION	obsr890340	1
2198184593	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-18.0677	-52.9381	Das Emas NP Newly burned area	Goiás	BR	2018	7	13	CLO	EBIRD	HUMAN_OBSERVATION	obsr148179	1
2196073029	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-18.261	-52.8884	Parque Nacional das Emas	Goiás	BR	2006	8	23	CLO	EBIRD	HUMAN_OBSERVATION	obsr563815	1
2189938235	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-18.0677	-52.9381	Das Emas NP Newly burned area	Goiás	BR	2018	7	13	CLO	EBIRD	HUMAN_OBSERVATION	obsr444029	1
2185081157	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-24.1342	-55.5285	Mbaracayú--Jejuimi	Canindeyú	PY	2018	7	4	CLO	EBIRD_PRY	HUMAN_OBSERVATION	obsr538107	1
2182499481	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-24.11	-55.26	RNB Mbaracayú, Dpto. Canindeyú (Paraguay Central)	Canindeyú	PY	2018	3	17	CLO	EBIRD_PRY	HUMAN_OBSERVATION	obsr553182	2
2182019009	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-24.11	-55.26	RNB Mbaracayú, Dpto. Canindeyú (Paraguay Central)	Canindeyú	PY	2018	3	17	CLO	EBIRD_PRY	HUMAN_OBSERVATION	obsr561804	2
2175736458	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-24.1259	-55.4403	Reserva Mbaracayu-24,126x-55,44 - 9 jul. 2017 21:54	Canindeyú	PY	2017	7	9	CLO	EBIRD	HUMAN_OBSERVATION	obsr786997	1
2174118633	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-18.0677	-52.9381	Das Emas NP Newly burned area	Goiás	BR	2018	7	13	CLO	EBIRD	HUMAN_OBSERVATION	obsr21054	1
2171236846	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-18.261	-52.8884	Parque Nacional das Emas	Goiás	BR	2016	10	26	CLO	EBIRD	HUMAN_OBSERVATION	obsr3541	3
2150959466	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-24.1259	-55.4403	Reserva Mbaracayu-24,126x-55,44 - 9 jul. 2017 21:54	Canindeyú	PY	2017	7	9	CLO	EBIRD	HUMAN_OBSERVATION	obsr814869	1
2141400784	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-23.777	-56.3271	Agroflorestal Rio Verde	San Pedro	PY	2016	12	28	CLO	EBIRD	HUMAN_OBSERVATION	obsr1041354	1
2136421303	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-24.11	-55.26	RNB Mbaracayú, Dpto. Canindeyú (Paraguay Central)	Canindeyú	PY	2018	3	17	CLO	EBIRD_PRY	HUMAN_OBSERVATION	obsr538107	2
2130188411	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-23.777	-56.3271	Agroflorestal Rio Verde	San Pedro	PY	2016	9	5	CLO	EBIRD	HUMAN_OBSERVATION	obsr1041354	1
2120959651	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-19.3646	-47.916	Cabeceiras do rio Uberabinha	Minas Gerais	BR	2017	12	14	CLO	EBIRD	HUMAN_OBSERVATION	obsr620877	1
2119543533	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-23.7667	-56.2833	Laguna Blanca, San Pedro (Paraguay Central)	San Pedro	PY	2017	1	17	CLO	EBIRD	HUMAN_OBSERVATION	obsr962124	1
2099169393	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-24.1607	-55.3937	Reserva Natural del Bosque Mbaracayú	Canindeyú	PY	2017	9	8	CLO	EBIRD	HUMAN_OBSERVATION	obsr88741	6
2098012928	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-18.261	-52.8884	Parque Nacional das Emas	Goiás	BR	2017	9	25	CLO	EBIRD	HUMAN_OBSERVATION	obsr549029	1
2091488958	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-23.782	-56.3273	Agroforestal Rio Verde	San Pedro	PY	2017	8	11	CLO	EBIRD	HUMAN_OBSERVATION	obsr86529	1
2089013908	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-18.261	-52.8884	Parque Nacional das Emas	Goiás	BR	2017	9	25	CLO	EBIRD	HUMAN_OBSERVATION	obsr123480	1
2086198023	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-23.782	-56.3273	Agroforestal Rio Verde	San Pedro	PY	2017	8	11	CLO	EBIRD	HUMAN_OBSERVATION	obsr831559	1
2085756715	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-23.782	-56.3273	Agroforestal Rio Verde	San Pedro	PY	2017	8	11	CLO	EBIRD	HUMAN_OBSERVATION	obsr291687	1
2083090956	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-18.261	-52.8884	Parque Nacional das Emas	Goiás	BR	2017	9	25	CLO	EBIRD	HUMAN_OBSERVATION	obsr99398	1
2082710583	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-24.1259	-55.4403	Reserva Mbaracayu-24,126x-55,44 - 9 jul. 2017 21:54	Canindeyú	PY	2017	7	9	CLO	EBIRD	HUMAN_OBSERVATION	obsr622996	1
2080807112	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-18.261	-52.8884	Parque Nacional das Emas	Goiás	BR	2017	9	10	CLO	EBIRD	HUMAN_OBSERVATION	obsr744171	4
2076050558	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-23.782	-56.3273	Agroforestal Rio Verde	San Pedro	PY	2017	8	11	CLO	EBIRD	HUMAN_OBSERVATION	obsr421009	1
2074455088	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-23.782	-56.3273	Agroforestal Rio Verde	San Pedro	PY	2017	8	11	CLO	EBIRD	HUMAN_OBSERVATION	obsr587820	1
2068480879	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-24.11	-55.26	RNB Mbaracayú, Dpto. Canindeyú (Paraguay Central)	Canindeyú	PY	2017	7	9	CLO	EBIRD	HUMAN_OBSERVATION	obsr538107	1
2068001132	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-24.1259	-55.4403	Reserva Mbaracayu-24,126x-55,44 - 9 jul. 2017 21:54	Canindeyú	PY	2017	7	9	CLO	EBIRD	HUMAN_OBSERVATION	obsr508506	1
2061368577	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-23.7681	-56.3331	Forestadora Rio Verde	San Pedro	PY	2017	5	2	CLO	EBIRD	HUMAN_OBSERVATION	obsr538107	2
